"","X.1","X","id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","date"
"1",1,1,75083,"SoHo off Hollywood Road  3B",304876,"Brend","Central & Western",22.28398,114.14839,"Entire home/apt",783,14,229,"2020-04-18",2.04,13,165,"2020-05"
"2",2,2,163664,"Soho off Hollywood Road P4",304876,"Brend","Central & Western",22.28651,114.14874,"Entire home/apt",690,2,222,"2020-04-11",2.09,13,334,"2020-05"
"3",3,3,163742,"Soho off Hollywood Road P3",304876,"Brend","Central & Western",22.28694,114.14855,"Entire home/apt",767,2,224,"2020-01-31",2.1,13,365,"2020-05"
"4",4,4,248140,"Bright Studio - Soho - Central HK",1300549,"Darren","Central & Western",22.28291,114.15137,"Entire home/apt",643,1,163,"2019-12-21",1.57,1,11,"2020-05"
"5",5,5,410921,"SUITE 1: Next to South Pacific Hotel",1375696,"C S","Wan Chai",22.27736,114.17949,"Private room",775,1,18,"2017-10-06",0.18,17,365,"2020-05"
"6",6,6,459463,"Wifi Causeway Bay petit home by MTR",2283777,"Jennifer","Wan Chai",22.27732,114.18291,"Entire home/apt",318,1,76,"2019-11-05",1.02,16,365,"2020-05"
"7",7,7,505160,"Apartment located in Stanley, H.K.",1443229,"Alice","Southern",22.21972,114.209,"Entire home/apt",698,3,25,"2020-05-08",0.35,5,365,"2020-05"
"8",8,8,548840,"GreatStudio NewDecor, Nice Area 3rd",808933,"J","Central & Western",22.28505,114.14211,"Entire home/apt",535,2,183,"2020-04-13",1.94,3,350,"2020-05"
"9",9,9,560337,"High floor/Bay view in Kowloon !!",2755168,"Sonia","Kowloon City",22.3136,114.18918,"Private room",248,2,232,"2019-12-30",2.43,1,349,"2020-05"
"10",10,10,562683,"Mixed Dorm Bed#1/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",171,1,113,"2019-11-10",1.23,64,365,"2020-05"
"11",11,11,562775,"Mixed Dorm Bed#2/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",279,1,226,"2020-03-26",4.05,64,365,"2020-05"
"12",12,12,562795,"Mixed Dorm Bed#3/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",279,1,45,"2019-11-07",0.81,64,365,"2020-05"
"13",13,13,562808,"Mixed Dorm Bed#4/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",279,1,25,"2019-06-14",0.45,64,365,"2020-05"
"14",14,14,562817,"Mixed Dorm Bed#A/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",279,1,163,"2019-12-27",1.72,64,365,"2020-05"
"15",15,15,562840,"Mixed Dorm Bed#B/Wan Chai/close to MTR",2767794,"Check Inn HK","Wan Chai",22.27825,114.17699,"Shared room",279,1,28,"2019-05-08",0.3,64,365,"2020-05"
"16",16,16,598668,"Special offer! 1 mins walk from MTR Causeway Bay!",2961152,"Lin","Wan Chai",22.28124,114.18418,"Private room",349,28,3,"2016-02-01",0.03,14,365,"2020-05"
"17",17,17,603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,"Veronica","Islands",22.25409,113.86229,"Hotel room",636,1,62,"2020-03-19",0.77,4,76,"2020-05"
"18",18,18,764696,"Single bed room with green view ",4031260,"Jen Ai","North",22.50262,114.13418,"Private room",349,2,39,"2019-07-06",0.43,2,362,"2020-05"
"19",19,19,777269,"wifiCauseway Bay cozy stu 2mins>MTR",2283777,"Jennifer","Wan Chai",22.27912,114.18398,"Private room",333,1,113,"2019-06-17",1.26,16,365,"2020-05"
"20",20,20,844447,"Cozy Apartment in Wan Chai",4345080,"Felix","Wan Chai",22.27541,114.1707,"Entire home/apt",767,1,27,"2019-04-23",0.3,1,138,"2020-05"
"21",21,21,846482,"Japanese style in Sai Ying Pun",4420092,"Nicolas","Central & Western",22.28638,114.14055,"Entire home/apt",659,1,124,"2020-01-31",1.4,1,364,"2020-05"
"22",22,22,846855,"apartment in wan chai EE",3014654,"Kenny","Wan Chai",22.27666,114.17117,"Private room",403,30,1,"2013-01-02",0.01,2,365,"2020-05"
"23",23,23,849316,"Causeway Bay Nr Times Sq: Full Apartment",4414395,"Mike","Wan Chai",22.27742,114.18156,"Entire home/apt",783,1,78,"2019-10-29",0.98,1,23,"2020-05"
"24",24,24,850531,"❤❤SuperHost's Private Bedroom on HK Island @TinHau",4441809,"Super Host Gordon :-)","Wan Chai",22.27994,114.18966,"Private room",302,2,499,"2020-05-09",5.56,1,350,"2020-05"
"25",25,25,869969,"Studio available in Prince Edward",4584648,"Ivy","Kowloon City",22.32611,114.17727,"Private room",217,30,2,"2015-06-22",0.02,292,364,"2020-05"
"26",26,26,872466,"Guest Room w/ Double Bed in Spacious Flat",4602950,"Sergius","Yuen Long",22.44056,114.07318,"Private room",163,15,55,"2020-01-05",0.66,1,181,"2020-05"
"27",27,27,911684,"Wanchai Pigeon Burrow — Studio Flat",4891952,"John","Wan Chai",22.2751,114.17343,"Entire home/apt",295,21,263,"2019-12-28",3.78,2,46,"2020-05"
"28",28,28,956857,"large Room- Heart of Soho/Central",5100812,"Nana","Central & Western",22.28445,114.15366,"Private room",326,6,5,"2019-04-15",0.06,2,233,"2020-05"
"29",29,29,985636,"A cozy corner in Causeway Bay",2961152,"Lin","Wan Chai",22.28091,114.18477,"Private room",202,28,1,"2015-12-02",0.02,14,365,"2020-05"
"30",30,30,992390,"Bright quiet studio in Hong Kong Central district",5181284,"Peter","Central & Western",22.28289,114.15293,"Entire home/apt",636,3,138,"2020-05-10",1.59,2,79,"2020-05"
